name,phone,email,address,postalZip
Wing Marks,(583) 642-0545,in.sodales.elit@aol.org,8811 Dis Road,Y8H 0K6
Orlando Daniels,(673) 607-3451,cras.sed@outlook.net,147-8666 Nascetur Rd.,F85 0VX
Kelsey Gamble,1-874-372-9282,nunc@yahoo.ca,Ap #149-6071 Sed St.,673225
Odette Marks,1-474-724-2864,sapien.nunc.pulvinar@protonmail.net,"962-4829 Amet, St.",27720
Moses Leach,(316) 272-8681,augue.ac.ipsum@hotmail.edu,507-2466 Nam Ave,00753
Colleen Glass,1-388-106-7553,phasellus.fermentum@google.com,398-9378 Sodales Rd.,3477
Christian Gutierrez,(316) 554-7525,morbi.accumsan@hotmail.couk,622-2593 Et Street,415846
Hu Blankenship,(684) 944-0473,ante.blandit@google.net,"P.O. Box 143, 989 Lacus, Avenue",78605
Adam Mullins,(911) 524-7420,nulla.magna@aol.ca,Ap #623-2730 Justo Street,36485
Forrest David,(416) 535-5753,mauris@hotmail.couk,5306 Vivamus Avenue,827558
